iter	Passed	Remaining
0	8	12844
1	16	12277
2	22	11304
3	27	10323
4	34	10362
5	41	10409
6	49	10534
7	56	10518
8	63	10548
9	70	10565
10	78	10617
11	85	10553
12	88	10147
13	95	10158
14	101	10079
15	107	9991
16	110	9613
17	112	9298
18	115	8991
19	121	8977
20	128	9029
21	131	8820
22	137	8832
23	144	8879
24	149	8814
25	155	8824
26	159	8676
27	165	8712
28	168	8554
29	174	8565
30	182	8651
31	189	8696
32	196	8749
33	204	8828
34	210	8801
35	217	8839
36	224	8866
37	230	8884
38	236	8855
39	243	8882
40	251	8966
41	257	8936
42	263	8936
43	271	8972
44	278	9006
45	285	9014
46	289	8962
47	296	8956
48	299	8875
49	305	8854
50	309	8805
51	316	8813
52	319	8727
53	325	8712
54	332	8727
55	337	8690
56	343	8697
57	350	8715
58	357	8739
59	364	8749
60	368	8681
61	375	8699
62	382	8717
63	386	8673
64	394	8707
65	402	8736
66	408	8734
67	415	8748
68	417	8657
69	424	8671
70	427	8595
71	433	8593
72	440	8608
73	443	8544
74	447	8502
75	449	8420
76	456	8432
77	463	8442
78	467	8414
79	472	8381
80	478	8383
81	485	8387
82	492	8400
83	499	8417
84	505	8416
85	509	8373
86	516	8388
87	523	8407
88	532	8434
89	538	8438
90	544	8435
91	551	8439
92	554	8389
93	561	8398
94	568	8410
95	575	8410
96	578	8362
97	581	8317
98	587	8314
99	594	8317
100	600	8317
101	607	8324
102	610	8279
103	617	8294
104	625	8307
105	632	8313
106	639	8321
107	642	8285
108	649	8285
109	656	8290
110	664	8310
111	668	8288
112	676	8302
113	682	8300
114	688	8295
115	691	8254
116	698	8259
117	704	8255
118	712	8263
119	718	8268
120	725	8272
121	733	8282
122	740	8289
123	747	8298
124	755	8310
125	762	8317
126	768	8313
127	775	8314
128	781	8309
129	788	8311
130	795	8312
131	799	8290
132	802	8248
133	808	8242
134	816	8250
135	819	8218
136	821	8169
137	827	8165
138	834	8173
139	842	8182
140	849	8183
141	856	8189
142	863	8193
143	870	8200
144	877	8201
145	883	8190
146	889	8186
147	894	8167
148	900	8161
149	907	8165
150	913	8163
151	920	8167
152	926	8157
153	934	8168
154	941	8173
155	949	8176
156	956	8178
157	962	8177
158	966	8151
159	970	8126
160	977	8125
